Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Market_Cap,PE_Ratio,Dividend_Yield,52Week_High,52Week_Low
2024-02-06 00:00:00+05:30,1431.256637826339,1431.256637826339,1409.3934322746634,1417.3099365234375,9047984,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-02-07 00:00:00+05:30,1425.3752031215413,1438.8504181404362,1418.7491963623445,1431.554443359375,9296568,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-02-08 00:00:00+05:30,1439.3467435794867,1448.752105824393,1417.0368932886952,1439.4708251953125,14694634,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-02-09 00:00:00+05:30,1443.31729322881,1461.1602045826953,1440.2896534634558,1450.0177001953125,12556798,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-02-12 00:00:00+05:30,1450.017752117624,1450.2659153474917,1431.7529141646626,1441.679443359375,6674430,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-02-13 00:00:00+05:30,1444.806250056761,1468.1335924657844,1443.3172707540573,1454.335693359375,7715594,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-02-14 00:00:00+05:30,1446.7916226083244,1472.749520552248,1446.7916226083244,1470.4912109375,7117888,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-02-15 00:00:00+05:30,1472.4517353218182,1473.8166331337911,1455.7503978374216,1459.79541015625,10006782,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-02-16 00:00:00+05:30,1465.6271998466532,1466.1483668657747,1447.8339689108675,1449.843994140625,9767498,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-02-19 00:00:00+05:30,1451.3082561823699,1468.6300012389227,1442.8458657695369,1463.17041015625,6729828,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-02-20 00:00:00+05:30,1464.1878968342883,1464.659382736365,1451.0600862084646,1460.21728515625,7117496,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-02-21 00:00:00+05:30,1463.170510366537,1477.5888193115914,1446.8414171157522,1456.916748046875,12720292,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-02-22 00:00:00+05:30,1457.36346935178,1474.0399663973683,1447.2880175600008,1470.863525390625,18493728,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-02-23 00:00:00+05:30,1478.556551746289,1486.5474563697878,1472.4517119404402,1482.6512451171875,14438584,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-02-26 00:00:00+05:30,1482.5768223248915,1483.5446346905887,1471.607959051116,1476.3974609375,7513106,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-02-27 00:00:00+05:30,1472.1291493159843,1488.9297276070065,1467.1907251784094,1474.73486328125,10826044,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-02-28 00:00:00+05:30,1472.1042938560004,1480.3185210789975,1439.5205099276588,1444.930419921875,8647950,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-02-29 00:00:00+05:30,1454.2365988812116,1468.1088998815815,1443.8385832706604,1450.0675048828125,23628976,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-03-01 00:00:00+05:30,1452.7475417409498,1488.979373154373,1451.7548888255137,1481.1622314453125,12132926,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-03-04 00:00:00+05:30,1479.5243736818861,1501.337897909408,1476.2982516112518,1496.3250732421875,10024420,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-03-05 00:00:00+05:30,1494.712091681268,1496.3251528023525,1475.1320355384912,1489.177978515625,7107668,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-03-06 00:00:00+05:30,1482.4773919378927,1497.9131926576536,1467.6372798835923,1491.957275390625,7805676,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-03-07 00:00:00+05:30,1491.9325571368477,1492.056638756749,1464.7091224345347,1468.059326171875,8315726,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-03-11 00:00:00+05:30,1478.060279979328,1478.060279979328,1452.747629113329,1455.8248291015625,11277130,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-03-12 00:00:00+05:30,1455.8247263461558,1477.0675227494196,1454.261346490045,1464.5849609375,9432678,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-03-13 00:00:00+05:30,1468.9029635812572,1472.2034859914554,1417.2850129833478,1421.6527099609375,13522134,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-03-14 00:00:00+05:30,1429.1223094125826,1437.8825438227764,1415.0266869213976,1420.957763671875,18571102,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-03-15 00:00:00+05:30,1415.4733954219128,1422.694969713975,1402.5193474045138,1407.80517578125,19223818,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-03-18 00:00:00+05:30,1409.56727675182,1431.1326391984185,1406.1178317705178,1428.899169921875,9169392,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-03-19 00:00:00+05:30,1418.252849649116,1427.0378036957165,1406.8373411480031,1414.778564453125,8275764,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-03-20 00:00:00+05:30,1417.4587350761735,1434.3835163859578,1413.562644941621,1433.1427001953125,8488806,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-03-21 00:00:00+05:30,1441.8532357214951,1447.1887452733042,1434.060934378195,1440.3145751953125,13006936,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-03-22 00:00:00+05:30,1439.321893152815,1449.2732629085037,1436.716179238339,1444.3348388671875,19527608,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-03-26 00:00:00+05:30,1434.3835274360674,1441.7291835759677,1428.4276096750873,1430.983642578125,11415906,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-03-27 00:00:00+05:30,1437.3613782559069,1488.979328303771,1436.368725370371,1481.8818359375,16326644,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-03-28 00:00:00+05:30,1481.90676076149,1494.8856495085238,1467.786296896486,1474.933349609375,21854364,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-04-01 00:00:00+05:30,1481.5095896793896,1482.9985690062601,1471.60790139039,1473.8662109375,5013880,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-04-02 00:00:00+05:30,1473.0968689675985,1483.0233977342266,1464.1629930776332,1476.025146484375,8910166,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-04-03 00:00:00+05:30,1471.186101560143,1473.5436523631188,1458.1079713887636,1460.7880859375,7008292,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-04-04 00:00:00+05:30,1468.8780939901114,1468.8780939901114,1439.3466709144527,1452.1767578125,14490272,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-04-05 00:00:00+05:30,1450.1417667351745,1459.9938949751336,1445.3025839763254,1449.3724365234375,7442298,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-04-08 00:00:00+05:30,1452.226356281804,1480.0206375610207,1450.2658910334067,1475.057373046875,8357118,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-04-09 00:00:00+05:30,1478.060211901015,1478.8543827139295,1451.7549092714805,1452.896484375,7071414,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-04-10 00:00:00+05:30,1455.5766564963697,1476.0749645358123,1455.5766564963697,1468.7044677734375,9138330,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-04-12 00:00:00+05:30,1465.0317226594827,1475.5538200544618,1452.3257159957793,1456.370849609375,15551012,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-04-15 00:00:00+05:30,1450.2658952456557,1471.2356878788278,1435.6986653849476,1454.062744140625,12902062,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
2024-04-16 00:00:00+05:30,1442.6720371000315,1460.3661473678603,1440.2649265731254,1454.98095703125,9366184,0.0,0.0,RELIANCE.NS,19632912072704,23.59408,0.38,1611.8,1114.85
